nome_produto,marca,segmento,categoria,subcategoria
Mandril Pm Peça de Mão Reforçado ,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Mandril Praxis CA ,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Boca Transparente para Treinamento de Preenchimento Labial ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Jogo de Dente ,,Laboratório,Dentes Artificiais,Dentes de Resina Acrílica
Jogo de Dente Materiais Dentários ,,Laboratório,Dentes Artificiais,Dentes de Resina Acrílica
Face Nude para Treinamento Harmonização Orofacial ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Face Realista Nude para Treinamento Harmonização Orofacial ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Face Transparente para Treinamento Harmonização Orofacial ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Manequim Pediatria Plp ,,Laboratório,Dentes Artificiais,Dentes de Resina Acrílica
Manequim Periodontia ,,Laboratório,Dentes Artificiais,Dentes de Resina Acrílica
Manipulo Análogo Digital ,,Dentista,Implantodontia,Componentes Protéticos
Manta Invólucro Para Esterilização ProtClean , 50x50cm.,Dentista,Biossegurança,Embalagem para Esterilização
Marcador de Instrumento Redondo com Estojo ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Marcador de Instrumento Sextavado ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Marcador de Instrumento Sextavado ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Marcador de Instrumento Sextavado ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Marcador de Instrumento Sextavado ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Martelo Cirurgico 150 Grs ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Martelo De Mead ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Martelo Mead ,,Dentista,Cirurgia e Periodontia,Instrumentais Cirúrgicos
Máscara Cirúrgica Descartável ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Cirúrgica Descartável Com Elástico ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Cirúrgica Descartável Com Tiras ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Cirúrgica Descartável Tripla ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Cirúrgica Fashion Descartável Tripla ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara de Tecido Branco com Elástico ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Antiviral Tripla Verde ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Tripla com Clipe Nasal ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Tripla com Clipe Nasal Branca ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Tripla com Elástico Amarela ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Tripla com Elástico Branca,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Tripla com Elástico Branca ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Tripla com Elástico Color ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Tripla com Elástico Preta ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Descartável Tripla Proteção com Tiras Verde ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Hospitalar 3 Painéis 3M™ Aura™ 9360H ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara Tripla Descartável com Tiras ,,Dentista,Biossegurança,Equipamentos de Proteção Individual (EPIs)
Máscara de Gel Hotcold ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Máscara Fototerapia Led Facial Soldador Para Fluence Maxx ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Máscara Iluminadora Peel Off Gel 200ml ,,Dentista,Harmonização Orofacial,Dermocosméticos
Massageador Automático Sport ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Massageador Vibra ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Skin Vibra Massageador Por Vibração ,,Dentista,Harmonização Orofacial,Acessórios para Harmonização Orofacial
Palodent 360 + Kit Palodent V3 ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Anteriores Unica Minideep ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Anteriores Unica Minideep ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Cervical ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Cervical ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Aço Ultrasteel,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz de Aço ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz de Poliéster ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz de Silicone Provy Easy ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Omni Matrix ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Omni Matrix Winged ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz para Anteriores ,,Dentista,Dentística e Estética,Sistemas de Matriz
"Matriz Seccionais Ultramatrix Anterior 0,03mm ",,Dentista,Dentística e Estética,Sistemas de Matriz
"Matriz Seccionais Ultramatrix Anterior 0,03mm ",,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccionais Ultramatrix Posterior ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional LumiContrast ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional LumiContrast ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional LumiContrast Molar 0.04mm 6.4mm 35unid ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional LumiContrast Pré Molar 0.04mm 5mm 35unid ,,Dentista,Dentística e Estética,Sistemas de Matriz
"Matriz Seccional Molar com Extenção Cervical QuickmatFlex 0,3mm 50 Unid. ",,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Molar Quickmat All round ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Molar Quickmat Flex ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Molar Quickmat Flex 0.04mm 6.4mm ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional myQuickmat Forte ,,Dentista,Dentística e Estética,Sistemas de Matriz
Matriz Seccional Pré Contornada Palodent 360 ,,Dentista,Dentística e Estética,Sistemas de Matriz
