nome_produto,marca,segmento,categoria,subcategoria
Mola de NiTi Fechada Para Miniparafuso ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola de NiTi Flexy Para Tração ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola NiTi Aberta ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola NiTi Aberta ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola NiTi Fechada para Retração ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola Niti para Distalização ,,Dentista,Ortodontia,Acessórios Ortodônticos
Mola Ortodôntica de NiTi Para Compressão ,,Dentista,Ortodontia,Acessórios Ortodônticos
Moldeira para Clareamento Superior Inferior ,,Dentista,Dentística e Estética,Clareadores Dentais
Moldeira Termomoldável ,,Dentista,Dentística e Estética,Clareadores Dentais
Moldeira Termomoldável para Clareamento ,,Dentista,Dentística e Estética,Clareadores Dentais
Moldeira de Cera com Espuma para Flúor ,,Dentista,Prevenção e Profilaxia,Equipamentos para Profilaxia
Moldeira de Cera com Espuma para Flúor Sortida ,,Dentista,Prevenção e Profilaxia,Equipamentos para Profilaxia
Moldeira Descartável Dupla para Flúor ,,Dentista,Prevenção e Profilaxia,Equipamentos para Profilaxia
Moldeira Dupla para Flúor ,,Dentista,Prevenção e Profilaxia,Equipamentos para Profilaxia
